t,f
-10.715022121959265, 52.146935305716816
-10.285877500448258, 52.61046461117967
-5.006037609353577, 68.52490819205393
-4.384117656574809, 71.7528010498021
-3.8656926657351462, 74.79028549085965
-1.8919735023062003, 94.14382271857518
-1.4092324637875038, 101.78318422248621
-27.255022333241605, 37.5710468725802
-25.323567391350373, 38.517856498554856
-23.638519020301025, 39.48852621208253
-21.04828637354728, 41.84961745621064
-18.29505281652872, 43.26166651076884
-16.649802070323254, 45.46957282778392
-14.512584940409411, 47.00376289271863
-13.03075848345647, 50.229185075049436
-11.962149918499549, 51.069547344528544
-8.258007155104899, 59.78852421288157
-6.941298503355284, 62.83989673136212
-5.7884375198459, 66.59720915060697
-2.9843984843032274, 83.31733312750636
-2.4877749317301436, 89.77632092310687
-0.912805097483016, 119.03144381806953
-0.4136412709837245, 134.80492961811854
-0.07705497576155551, 157.81984015082875
0.1375981710027645, 189.4201773228939
0.3522513177670916, 227.34786413891922
0.40051652236498825, 261.7826304832495
